ID, ﻿Family,Genus,Species,Botanical author,Common name,Type of material,Source,Accession numbers,Date collected,Collector,Notes,Needs label?
1 , ACERACEAE,Acer,,sp.,Maple,carbonized wood,"St. Louis Co., MO.",,9/1/83,D.B. Epstein,,
2 , ACERACEAE,Acer,saccharinum,L.,Silver Maple,carbonized wood,Incenerator site (33My57),,8/21/78,G.E. Wagner,,
3 , ACERACEAE,Acer,negundo,,,,NE corner of Wilson,,1975,,,
4 , ACERACEAE,Acer,rubrum,L.,Red Maple,carbonized wood,,,9/13/79,G.E. Wagner,,
5 , ACANTHACEAE,Ruellia,humilis,L.,Fringe Leaf Ruellia,,Bowman's Hill Wildflower Preserve,,1997,G.J. Fritz,,
6 , ACANTHACEAE,Ruellia,strpens,L.,Wild Petunia,,Hilda J. Young Memorial Forest,,,,,
7 , ADOXACEAE,Sambucus,chinensis,,Chinese Red Elder,,"China, Pixian field hedgerow",,12/2010,R. Spengler,,
8 , AGAVACEAE,Dasylirion,wheeleri,,"Sotol, Desert Spoon",,Plants of the Southwest,,1999,G. Powell,,
9 , AGAVACEAE,Yucca,, sp. L.,,,,,,C. Miksicek,,
10 , AGAVACEAE,Yucca,augustissima ,Engelm,Narrow-leaved yucca,,Near Grand Canyon,,1977,H.C. Cutler,,
11 , AGAVACEAE,Yucca,baccata,Torr.,Broad-leaved yucca,,"Near Silver City, CO",,1977,H.C. Cutler,,
12 , AGAVACEAE,Yucca,baccata,Torr.,Broad-leaved yucca,,,,,C. Miksicek,,
13 , AGAVACEAE,Yucca,elata,,Soap Tree Yucca,,Plants of the Southwest,,1999,G. Powell,,
14 , AGAVACEAE,Yucca,elata,,,,"W.J. Beal Botanical Garden, MI State Univ. from AZ,",,3/6/07,G.J. Fritz,,
15 , AGAVACEAE,Yucca,glauca,,Narrowleaf Yucca,,Plants of the Southwest,,1999,G. Powell,,
16 , AIZOACEAE,Aethephyllum,pinnatifidum  ,(L. fil.),N.E. Br.,,"Botanical Garden of Bonn University, Germany",,9/2002,G.J. Fritz,,
17 , AIZOACEAE,Tetragonia,tetragondoides,,New Zealand Spinach,,,,1977,H.C. Cutler,,
18 , ALISMATACEAE,Alisma,plantago-aquatica,,,,"W.J. Beal Botanical Garden, MI State Univ. from MI,",,3/6/07,G.J. Fritz,,
19 , ALISMATACEAE,Sagittaria,latifolia,Wild.,,,"Botanic Garden of Smith College.  Northampton, MA.",,9/2004,G.J. Fritz,,
20 , ALISMATACEAE,Sagittaria,latifolia,Wild.,,,Rose Lake Fen Drain.   W.J. Beal Botanical Garden,,1999,G.J. Fritz,,
21 , ALISMATACEAE,Sagittaria,latifolia ,Wild.,,,Rose Lake Fen Drain.   W.J. Beal Botanical Garden,,10/5/94,G.J. Fritz,,
22 , ALISMATACEAE,Sagittaria,latifolia ,Wild.,Duck potato (tubers),,"Portage de Sioux, MO",,1991,M.L. Williams,,
23 , ALISMATACEAE,Sagittaria,latifolia ,Wild.,Duck potato (tubers),,"W. Feliciana Parish, LA",,,M. Standifer,,
24 , ALISMATACEAE,Sagittaria,latifolia ,Wild.,,Seeds,"Bowman's Hill Wildflower Preserve, collected at Lower Salford Tup., Montgomery Co., PA",37,1997,G.J. Fritz,,NEEDS LABEL
25 , AMARANTHACEAE,Amaranthus,,sp.,Pigweed,,Wouthern Weed Science Society,,1991,G.J. Fritz,,
