Family,Genus,Species,Botanical author,Common name,Type of material,Source,Accession numbers,Date collected,Collector,Notes,Needs label?
ACERACEAE,Acer,,sp.,Maple,carbonized wood,"St. Louis Co., MO.",,9/1/83,D.B. Epstein,,
ACERACEAE,Acer,saccharinum,L.,Silver Maple,carbonized wood,Incenerator site (33My57),,8/21/78,G.E. Wagner,,
ACERACEAE,Acer,negundo,,,,NE corner of Wilson,,1975,,,
ACERACEAE,Acer,rubrum,L.,Red Maple,carbonized wood,,,9/13/79,G.E. Wagner,,
ACANTHACEAE,Ruellia,humilis,L.,Fringe Leaf Ruellia,,Bowman's Hill Wildflower Preserve,,1997,G.J. Fritz,,
ACANTHACEAE,Ruellia,strpens,L.,Wild Petunia,,Hilda J. Young Memorial Forest,,,,,
ADOXACEAE,Sambucus,chinensis,,Chinese Red Elder,,"China, Pixian field hedgerow",,12/2010,R. Spengler,,
AGAVACEAE,Dasylirion,wheeleri,,"Sotol, Desert Spoon",,Plants of the Southwest,,1999,G. Powell,,
AGAVACEAE,Yucca,, sp. L.,,,,,,C. Miksicek,,
AGAVACEAE,Yucca,augustissima ,Engelm,Narrow-leaved yucca,,Near Grand Canyon,,1977,H.C. Cutler,,
AGAVACEAE,Yucca,baccata,Torr.,Broad-leaved yucca,,"Near Silver City, CO",,1977,H.C. Cutler,,
AGAVACEAE,Yucca,baccata,Torr.,Broad-leaved yucca,,,,,C. Miksicek,,
AGAVACEAE,Yucca,elata,,Soap Tree Yucca,,Plants of the Southwest,,1999,G. Powell,,
AGAVACEAE,Yucca,elata,,,,"W.J. Beal Botanical Garden, MI State Univ. from AZ,",,3/6/07,G.J. Fritz,,
AGAVACEAE,Yucca,glauca,,Narrowleaf Yucca,,Plants of the Southwest,,1999,G. Powell,,
AIZOACEAE,Aethephyllum,pinnatifidum  ,(L. fil.),N.E. Br.,,"Botanical Garden of Bonn University, Germany",,9/2002,G.J. Fritz,,
AIZOACEAE,Tetragonia,tetragondoides,,New Zealand Spinach,,,,1977,H.C. Cutler,,
ALISMATACEAE,Alisma,plantago-aquatica,,,,"W.J. Beal Botanical Garden, MI State Univ. from MI,",,3/6/07,G.J. Fritz,,
ALISMATACEAE,Sagittaria,latifolia,Wild.,,,"Botanic Garden of Smith College.  Northampton, MA.",,9/2004,G.J. Fritz,,
ALISMATACEAE,Sagittaria,latifolia,Wild.,,,Rose Lake Fen Drain.   W.J. Beal Botanical Garden,,1999,G.J. Fritz,,
ALISMATACEAE,Sagittaria,latifolia ,Wild.,,,Rose Lake Fen Drain.   W.J. Beal Botanical Garden,,10/5/94,G.J. Fritz,,
ALISMATACEAE,Sagittaria,latifolia ,Wild.,Duck potato (tubers),,"Portage de Sioux, MO",,1991,M.L. Williams,,
ALISMATACEAE,Sagittaria,latifolia ,Wild.,Duck potato (tubers),,"W. Feliciana Parish, LA",,,M. Standifer,,
ALISMATACEAE,Sagittaria,latifolia ,Wild.,,Seeds,"Bowman's Hill Wildflower Preserve, collected at Lower Salford Tup., Montgomery Co., PA",37,1997,G.J. Fritz,,NEEDS LABEL
AMARANTHACEAE,Amaranthus,,sp.,Pigweed,,Wouthern Weed Science Society,,1991,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,,sp.,Pigweed,,S. Utah Pai-Ute.  Collected by J.W. Powell.  314833,,1977,H.C. Cutler,,
AMARANTHACEAE,Amaranthus,,sp.,Pigweed,,,,,C. Erickson,,
Amaranthaceae,Amaranthus,blitus,,Purple amaranth,seeds,USDA GRIN,PI490298,2023,,,
AMARANTHACEAE,Amaranthus,caudatus,L.,Purple amaranth,,"Botanical Garden of Bonn University, Germany",,7/1994,,,
AMARANTHACEAE,Amaranthus,caudatus,L. ssp.,,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,cruentus X. A. powelli,X. A. powelli,Hopi Red Dye Amaranth,,Native Seed Search,,1994,,,
AMARANTHACEAE,Amaranthus,cruentus X. powelli,X. powelli,Moenkopi mix,,Native Seed Search,,10/13/06,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,cruentus,,Marbled,,Native Seed Search ,,10/13/06,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,cruentus,,Mayo Grain,,Native Seed Search ,,10/13/06,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,cruentus,,Mexican Grain,,Native Seed Search ,,10/13/06,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,cruentus,,Mountain Pima Green,,Native Seed Search ,,10/13/06,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,cruentus,,Paiute,,Native Seed Search ,,10/13/06,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,cruentus,L.,Amaranth,,"Botanical Garden of Bonn University, Germany",,7/1994,,,
AMARANTHACEAE,Amaranthus,cruentus,L.,Purple Amaranth,,U.S. Arboretum,,1987,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,cruentus,L.,Purple Amaranth,,"Ann Arbor, MI",,,G.J. Fritz,,
Amaranthaceae,Amaranthus,dubius,,Red spinach,seeds,USDA GRIN,AMES2005,2023,,,
AMARANTHACEAE,Amaranthus,hybridus,L.,Slender Pigweed/Green Pigweed,,"Pecos, NM",,10/7/95,G. Powell,,
AMARANTHACEAE,Amaranthus,hybridus,L.,,,"Botanical Garden of Bonn University, Germany",,1/18/99,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,hybridus,L. em. Robins. Convar.,,,"Botanical Garden of Bonn University, Germany",,9/22/08,G.J. Fritz,,
AMARANTHACEAE,Amaranthus,erythrostachys,Thell.,,,,,,,,
